PC1,PC2,Analyte,Concentration
-2.5753412856452593,2.592881284667044,Ace,250
-7.379350105451522,0.14088697105350168,Ace,250
-1.499085845993596,2.855753557395426,Ace,250
-3.6247937158710783,0.4670468340398637,Ace,250
-5.931984385527973,2.0428806660792995,Ace,250
-5.173845849613528,-0.25714117957334715,Ace,250
-5.891953306316742,2.223992719277894,Ace,250
-2.0195054532691934,3.1478035136022537,Ace,250
-1.6626405955804158,4.135867736727386,Ace,250
-6.792134366667412,0.17420500916082204,Ace,250
-6.367619973524931,-1.7154843271095643,Ace,250
-7.749707108352682,0.026447014858725026,Ace,250
-1.90036676834477,3.5786076720067292,Ace,250
-6.9956073207677,-1.4307214854818415,Ace,250
-7.477171959508754,-0.4074851232046246,Ace,250
-1.563689752199695,3.9766582968949233,Ace,250
-1.7404061788471787,3.6810898587447696,Ace,250
-5.179227605587459,0.1921998531520961,Ace,250
-7.108050701471752,1.0120349502426036,Ace,250
-7.119328364121667,0.43469014135519757,Ace,250
-6.78751094522198,-0.12892581645623835,Ace,250
-6.721468946114219,1.028865093779375,Ace,250
-5.658947574686373,1.218019214115012,Ace,250
-5.714785128414894,0.653552692714209,Ace,250
-7.382358383235256,0.11361124649549303,Ace,250
-2.3160517113195436,2.98410703830711,Ace,250
-5.443907690183327,0.6843694981235213,Ace,250
-7.574889222950828,0.3683600703048686,Ace,250
-2.6753831926953495,2.9517258075942188,Ace,250
-6.8405982912315295,0.8380005111777615,Ace,250
-5.580410304545689,2.175572031618577,Ace,250
-6.561125991282493,1.2256551222219514,Ace,250
-6.805641695189793,0.3029226356902832,Ace,250
-6.182435775709184,-0.09653026020559352,Ace,250
-6.62266563950864,1.2003899810024716,Ace,250
-5.745050723917151,0.9481342623161755,Ace,250
-1.9072386141326234,3.14329376702244,Ace,250
-7.290997687715901,1.5812625884280083,Ace,250
-7.013400535697888,-0.5670888794030216,Ace,250
-6.316733286096117,-0.11954774037168825,Ace,250
-5.229219803690773,1.948241159394203,Ace,250
